model,layer,beta,condition,seeds,accuracy,valid_rate,prediction_changed_rate,mean_expected_count_shift,mean_direction_aligned_shift,mean_generated_shift_valid_only,mean_endpoint_probe_shift,mean_relative_state_norm
Qwen3-8B,33,-1.0,ridge,10,1.0,1.0,0.0,3.713366254909367e-05,-3.713366254909367e-05,0.0,-1.0156745195388794,0.04865610872501917
Qwen3-8B,33,-1.0,random,10,1.0,1.0,0.0,9.739046566892284e-06,-9.739046566892284e-06,0.0,-0.0009297392563894391,0.048652672323231824
Qwen3-8B,33,1.0,ridge,10,1.0,1.0,0.0,4.255939040058721e-05,4.255939040058721e-05,0.0,1.015848982334137,0.04865744185028428
Qwen3-8B,33,1.0,random,10,1.0,1.0,0.0,-3.851561495338274e-05,-3.851561495338274e-05,0.0,0.000863522500731051,0.048650446170875696
Qwen3-8B,34,-1.0,ridge,10,1.0,1.0,0.0,4.2658402408379815e-05,-4.2658402408379815e-05,0.0,-1.0258686065673828,0.04330481178515596
Qwen3-8B,34,-1.0,random,10,1.0,1.0,0.0,5.6972782435904536e-05,-5.6972782435904536e-05,0.0,-0.0005758252693340183,0.04330259155393844
Qwen3-8B,34,1.0,ridge,10,1.0,1.0,0.0,4.078713098421005e-05,4.078713098421005e-05,0.0,1.0259495615959167,0.04330580393980405
Qwen3-8B,34,1.0,random,10,1.0,1.0,0.0,6.319526820397492e-05,6.319526820397492e-05,0.0,0.0005937789916060865,0.04330269642079913
Qwen3-8B,35,-1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,-1.1159083485603332,0.055230908458492066
Qwen3-8B,35,-1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,0.00037809228524565697,0.05522826758829393
Qwen3-8B,35,1.0,ridge,10,1.0,1.0,0.0,0.0,0.0,0.0,1.1161545276641847,0.05523102255564503
Qwen3-8B,35,1.0,random,10,1.0,1.0,0.0,0.0,0.0,0.0,-0.0004497687565162778,0.05522935599957055
Gemma4-E4B,0,-1.0,ridge,10,1.0,1.0,0.0,0.0040634298201426946,-0.0040634298201426946,0.0,-2.4186418056488037,0.032101095395491816
Gemma4-E4B,0,-1.0,random,10,1.0,1.0,0.0,0.0017055595421323843,-0.0017055595421323843,0.0,0.009817110188305379,0.03205482145403789
Gemma4-E4B,0,1.0,ridge,10,1.0,1.0,0.0,0.0007770429051120242,0.0007770429051120242,0.0,2.418405628204346,0.03206664167203141
Gemma4-E4B,0,1.0,random,10,1.0,1.0,0.0,0.0020102966938399637,0.0020102966938399637,0.0,-0.010148579347878694,0.032055225732729585
Gemma4-E4B,1,-1.0,ridge,10,1.0,1.0,0.0,0.0020630989955586986,-0.0020630989955586986,0.0,-2.9516263246536254,0.010595296969021381
Gemma4-E4B,1,-1.0,random,10,1.0,1.0,0.0,0.00795061947062572,-0.00795061947062572,0.0,0.004299501795321703,0.010606188752644978
Gemma4-E4B,1,1.0,ridge,10,1.0,1.0,0.0,-0.0006159588024036821,-0.0006159588024036821,0.0,2.952928304672241,0.010596730485839234
Gemma4-E4B,1,1.0,random,10,1.0,1.0,0.0,-0.015385420453231413,-0.015385420453231413,0.0,-0.0044968781061470505,0.010605231714856177
Gemma4-E4B,2,-1.0,ridge,10,1.0,1.0,0.0,0.00028411832052461784,-0.00028411832052461784,0.0,-2.0499962091445925,0.02197784564614543
Gemma4-E4B,2,-1.0,random,10,1.0,1.0,0.0,-0.03356221706511002,0.03356221706511002,0.0,0.0005720034241676331,0.021950980245522722
Gemma4-E4B,2,1.0,ridge,10,1.0,1.0,0.0,-0.0009821874773893401,-0.0009821874773893401,0.0,2.050679898262024,0.021975243519713663
Gemma4-E4B,2,1.0,random,10,0.9,1.0,0.1,-0.04593080370042739,-0.04593080370042739,-0.1,-0.00022802194580435754,0.021950861841269112
Gemma4-E4B,3,-1.0,ridge,10,1.0,1.0,0.0,0.003115115395453838,-0.003115115395453838,0.0,-2.1063674449920655,0.025691790903565142
Gemma4-E4B,3,-1.0,random,10,1.0,1.0,0.0,-0.004207744493284959,0.004207744493284959,0.0,-0.001579793356359005,0.025711856925483584
Gemma4-E4B,3,1.0,ridge,10,1.0,1.0,0.0,-0.004929041554224733,-0.004929041554224733,0.0,2.1075172662734984,0.025691089113854926
Gemma4-E4B,3,1.0,random,10,1.0,1.0,0.0,-0.01494410574348315,-0.01494410574348315,0.0,0.0012149320915341376,0.02571358551395218
Gemma4-E4B,4,-1.0,ridge,10,1.0,1.0,0.0,0.004440199897211538,-0.004440199897211538,0.0,-3.096645736694336,0.03493953622762371
Gemma4-E4B,4,-1.0,random,10,0.8,1.0,0.2,-0.18579924509796825,0.18579924509796825,-0.2,0.0026884593069553377,0.034885446819224696
Gemma4-E4B,4,1.0,ridge,10,1.0,1.0,0.0,-0.0018549340512033386,-0.0018549340512033386,0.0,3.096403169631958,0.0349410388126429
Gemma4-E4B,4,1.0,random,10,0.5,1.0,0.5,-0.5416562808673284,-0.5416562808673284,-0.5,-0.002983556129038334,0.03488447534728896
Gemma4-E4B,5,-1.0,ridge,10,1.0,1.0,0.0,-0.0006588656638085499,0.0006588656638085499,0.0,-1.5931793451309204,0.02621881073281627
Gemma4-E4B,5,-1.0,random,10,0.9,1.0,0.1,-0.08425123393155518,0.08425123393155518,-0.1,-0.005691190902143717,0.02631722998147117
Gemma4-E4B,5,1.0,ridge,10,1.0,1.0,0.0,0.001070830333744821,0.001070830333744821,0.0,1.5934154748916627,0.026221969342412093
Gemma4-E4B,5,1.0,random,10,0.9,1.0,0.1,-0.05035158967895668,-0.05035158967895668,-0.1,0.005701374635100365,0.026317695136289343
Gemma4-E4B,6,-1.0,ridge,10,1.0,1.0,0.0,-0.0025131503110294327,0.0025131503110294327,0.0,-1.9808145999908446,0.022170808773636246
Gemma4-E4B,6,-1.0,random,10,0.9,1.0,0.1,-0.0792108735691012,0.0792108735691012,-0.1,-0.005621211417019367,0.0222177166830827
Gemma4-E4B,6,1.0,ridge,10,1.0,1.0,0.0,0.0024006476785827678,0.0024006476785827678,0.0,1.9802818536758422,0.02217285740309875
Gemma4-E4B,6,1.0,random,10,1.0,1.0,0.0,-0.03698892529193922,-0.03698892529193922,0.0,0.005732928728684783,0.02221815055747785
Gemma4-E4B,7,-1.0,ridge,10,1.0,1.0,0.0,-0.002057217431548519,0.002057217431548519,0.0,-2.268004608154297,0.03213862240521361
Gemma4-E4B,7,-1.0,random,10,1.0,1.0,0.0,0.002540455005042652,-0.002540455005042652,0.0,-0.004192385450005531,0.03215528631780448
Gemma4-E4B,7,1.0,ridge,10,1.0,1.0,0.0,0.00148927486456234,0.00148927486456234,0.0,2.2671457529067993,0.03213624278782101
Gemma4-E4B,7,1.0,random,10,0.8,1.0,0.2,-0.23220372109703374,-0.23220372109703374,-0.2,0.004404139239341021,0.032155339541248454
